CHAMPION_ID,CHAMPION_NAME,MOST_PICKED_LANE,PRIMARY_LANE_SHARE,GLOBAL_GAMES_PLAYED,GLOBAL_PICK_RATE,GLOBAL_WIN_RATE,GLOBAL_BAN_RATE
32,AMUMU,JUNGLE,0.6375,80,0.0136,0.481,0.0037
112,VIKTOR,MIDDLE,0.9228,272,0.0462,0.4815,0.0119
117,LULU,SUPPORT,0.9899,693,0.1177,0.5184,0.0559
498,XAYAH,BOTTOM,0.9846,130,0.0221,0.5,0.0031
804,YUNARA,BOTTOM,0.9976,828,0.1406,0.4982,0.0467
50,SWAIN,BOTTOM,0.4216,370,0.0628,0.4563,0.0107
29,TWITCH,BOTTOM,0.9611,437,0.0742,0.4455,0.0493
18,TRISTANA,BOTTOM,0.7744,399,0.0678,0.4975,0.0199
80,PANTHEON,SUPPORT,0.3466,326,0.0554,0.4907,0.0029
57,MAOKAI,SUPPORT,0.7671,73,0.0124,0.5,0.0003
56,NOCTURNE,JUNGLE,0.968,125,0.0212,0.5,0.0124
876,LILLIA,JUNGLE,1,105,0.0178,0.3558,0.0054
163,TALIYAH,MIDDLE,0.5231,497,0.0844,0.5337,0.0251
7,LEBLANC,MIDDLE,0.84,275,0.0467,0.5165,0.1513
22,ASHE,BOTTOM,0.9025,277,0.047,0.5036,0.0065
26,ZILEAN,SUPPORT,0.6953,279,0.0474,0.529,0.0248
133,QUINN,TOP,0.5893,112,0.019,0.5,0.0109
68,RUMBLE,TOP,0.8416,322,0.0547,0.5492,0.0396
427,IVERN,JUNGLE,0.8503,187,0.0318,0.5109,0.0129
222,JINX,BOTTOM,0.9971,690,0.1172,0.5022,0.0148
150,GNAR,TOP,0.9904,209,0.0355,0.4806,0.0071
92,RIVEN,TOP,0.8593,398,0.0676,0.4987,0.1352
221,ZERI,BOTTOM,0.9677,248,0.0421,0.5123,0.0019
31,CHOGATH,TOP,0.5768,241,0.0409,0.5021,0.0032
55,KATARINA,MIDDLE,0.9478,479,0.0814,0.5116,0.1286
432,BARD,SUPPORT,0.9886,612,0.1039,0.4653,0.1199
200,BELVETH,JUNGLE,0.9853,136,0.0231,0.5333,0.0817
202,JHIN,BOTTOM,0.9881,588,0.0999,0.5034,0.0036
39,IRELIA,TOP,0.6892,444,0.0754,0.4852,0.1388
154,ZAC,JUNGLE,0.7979,292,0.0496,0.5417,0.0221
13,RYZE,MIDDLE,0.8232,809,0.1374,0.4566,0.0861
53,BLITZCRANK,SUPPORT,0.9821,224,0.038,0.4842,0.053
526,RELL,SUPPORT,1,336,0.0571,0.4488,0.0087
120,HECARIM,JUNGLE,1,270,0.0459,0.5019,0.0328
126,JAYCE,JUNGLE,0.5456,702,0.1192,0.4877,0.1622
147,SERAPHINE,SUPPORT,0.516,281,0.0477,0.5125,0.0017
901,SMOLDER,BOTTOM,0.8009,422,0.0717,0.4892,0.0197
78,POPPY,SUPPORT,0.543,186,0.0316,0.5714,0.0416
34,ANIVIA,MIDDLE,0.6818,286,0.0486,0.5123,0.0229
910,HWEI,MIDDLE,0.7379,206,0.035,0.5172,0.0097
59,JARVANIV,JUNGLE,0.9741,540,0.0917,0.4813,0.0243
412,THRESH,SUPPORT,1,602,0.1022,0.4891,0.0287
86,GAREN,TOP,0.9228,246,0.0418,0.4836,0.0136
54,MALPHITE,TOP,0.7186,469,0.0797,0.4914,0.2425
777,YONE,MIDDLE,0.5433,381,0.0647,0.4814,0.0102
51,CAITLYN,BOTTOM,0.9882,764,0.1298,0.5,0.1265
893,AURORA,MIDDLE,0.5919,223,0.0379,0.5,0.0214
360,SAMIRA,BOTTOM,0.9822,225,0.0382,0.5596,0.0182
