CHAMPION_NAME,ITEM_NAME,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
DIANA,Mejai's Soulstealer,Legendary,0.0648,1,7.87,25,Riftmaker,Dusk And Dawn,Hextech Rocketbelt
URGOT,Randuin's Omen,Legendary,0.0588,0,2.20,30,Black Cleaver,Sterak's Gage,
WARWICK,Spirit Visage,Legendary,0.0909,1,1.20,50,Blade Of The Ruined King,Randuin's Omen,Sterak's Gage
KAYN,Axiom Arc,Legendary,0.4138,0.6667,2.67,20,Opportunity,Serylda's Grudge,Edge Of Night
NILAH,The Collector,Legendary,1,0.3846,1.86,15,Infinity Edge,Lord Dominik's Regards,Immortal Shieldbow
SERAPHINE,Rod Of Ages,Legendary,0.0313,0,1.25,15,Echoes Of Helia,,
SWAIN,Riftmaker,Legendary,0.0682,0.3333,3.10,25,Liandry's Torment,Blackfire Torch,Bloodletter's Curse
MILIO,Control Ward,Consumable,0.8367,0.6341,3.89,15,Ionian Boots Of Lucidity,Echoes Of Helia,Moonstone Renewer
CAMILLE,Farsight Alteration,Trinket,0.0714,0,2.50,15,Executioner's Calling,Plated Steelcaps,Ravenous Hydra
GAREN,Plated Steelcaps,Boots,0.1622,0.3333,1.07,20,Stridebreaker,Phantom Dancer,Mortal Reminder
FIDDLESTICKS,Null-Magic Mantle,Basic,0.0357,0,3.50,20,Bloodletter's Curse,Hextech Rocketbelt,Liandry's Torment
KINDRED,Farsight Alteration,Trinket,0.1333,0.5,2.68,15,Kraken Slayer,The Collector,Berserker's Greaves
LEESIN,Stealth Ward,Trinket,0.4444,0.4375,3.88,5,Sundered Sky,Eclipse,Control Ward
PYKE,Hexdrinker,Epic,0.06,0.3333,2.34,30,Umbral Glaive,Youmuu's Ghostblade,Bastionbreaker
VIKTOR,Rod Of Ages,Legendary,0.1667,0.1667,2.30,15,Liandry's Torment,Lich Bane,Shadowflame
RENGAR,Infinity Edge,Legendary,0.0702,0.75,4.17,30,Lord Dominik's Regards,Profane Hydra,Ravenous Hydra
NEEKO,Zaz'zak's Realmspike,Legendary,0.0513,0.5,4.92,15,Hextech Rocketbelt,Banshee's Veil,Mejai's Soulstealer
EZREAL,Ionian Boots Of Lucidity,Boots,0.6769,0.4091,2.56,15,Trinity Force,Spear Of Shojin,Essence Reaver
VIKTOR,Haunting Guise,Epic,0.0278,0,6.25,20,Cosmic Drive,Mejai's Soulstealer,Rod Of Ages
KOGMAW,Runaan's Hurricane,Legendary,0.2857,1,2.50,20,Blade Of The Ruined King,Guinsoo's Rageblade,Randuin's Omen
VIEGO,Boots,Boots,0.0088,0,0.75,5,The Collector,,
KAYLE,Stealth Ward,Trinket,0.2069,0.6667,1.32,5,Boots Of Swiftness,Nashor's Tooth,Dusk And Dawn
TALON,Caulfield's Warhammer,Epic,0.0645,0.5,3.01,10,Youmuu's Ghostblade,Opportunity,Umbral Glaive
JAYCE,Umbral Glaive,Legendary,0.1111,0.6667,4.94,10,Edge Of Night,Opportunity,Bastionbreaker
GWEN,Dark Seal,Starter,0.1667,0.6154,2.42,5,Dusk And Dawn,Nashor's Tooth,Amplifying Tome
SONA,Echoes Of Helia,Legendary,0.78,0.5385,2.89,15,Moonstone Renewer,Dawncore,Dream Maker
VLADIMIR,Horizon Focus,Legendary,0.0351,1,5.36,15,Rabadon's Deathcap,Shadowflame,Void Staff
VARUS,Steel Sigil,Epic,0.0164,0.5,2.37,30,Edge Of Night,Serylda's Grudge,Youmuu's Ghostblade
RELL,Kindlegem,Epic,0.4091,0.5,3.52,10,Zeke's Convergence,Locket Of The Iron Solari,Bandlepipes
RELL,Bandlepipes,Legendary,0.3409,0.7333,4.00,15,Zeke's Convergence,Locket Of The Iron Solari,Knight's Vow
TWISTEDFATE,Doran's Ring,Starter,0.5,0.1667,1.70,5,Rod Of Ages,Lich Bane,Rapid Firecannon
AMBESSA,The Brutalizer,Epic,0.0106,1,6.50,10,Eclipse,Serpent's Fang,
MONKEYKING,Wit's End,Legendary,0.0769,1,3.31,25,Essence Reaver,Blade Of The Ruined King,Death's Dance
CASSIOPEIA,Boots,Boots,0.1154,0.3333,0.35,5,Rod Of Ages,Lost Chapter,Rylai's Crystal Scepter
NIDALEE,Dark Seal,Starter,0.375,0.5833,3.71,5,Lich Bane,Sorcerer's Shoes,Shadowflame
SAMIRA,Cloak Of Agility,Basic,0.08,1,3.33,10,The Collector,B. F. Sword,Boots
ELISE,Oblivion Orb,Epic,0.0769,0,1.08,25,Stormsurge,Hextech Alternator,Void Staff
BARD,Elixir Of Sorcery,Consumable,0.0128,1,3.83,35,Control Ward,Echoes Of Helia,Ionian Boots Of Lucidity
IRELIA,Endless Hunger,Legendary,0.0833,0.6,1.73,25,Blade Of The Ruined King,Kraken Slayer,Wit's End
QUINN,Infinity Edge,Legendary,0.125,1,5.33,25,Lord Dominik's Regards,The Collector,
AKALI,Shadowflame,Legendary,0.7258,0.5556,2.60,20,Hextech Gunblade,Rabadon's Deathcap,Zhonya's Hourglass
HWEI,Sorcerer's Shoes,Boots,0.3636,0.5,2.09,15,Blackfire Torch,Shadowflame,Rabadon's Deathcap
