CHAMPION_ID,CHAMPION_NAME,MOST_PICKED_LANE,PRIMARY_LANE_SHARE,GLOBAL_GAMES_PLAYED,GLOBAL_PICK_RATE,GLOBAL_WIN_RATE,GLOBAL_BAN_RATE
800,Mel,Middle,0.5708,240,0.0408,0.4664,0.186
10,Kayle,Top,0.6834,259,0.044,0.5116,0.0414
245,Ekko,Jungle,0.6189,774,0.1315,0.5294,0.2471
143,Zyra,Jungle,0.3851,161,0.0273,0.4528,0.0061
78,Poppy,Support,0.543,186,0.0316,0.5714,0.0416
157,Yasuo,Middle,0.6199,863,0.1466,0.4994,0.1316
50,Swain,Bottom,0.4216,370,0.0628,0.4563,0.0107
84,Akali,Middle,0.7667,540,0.0917,0.486,0.2383
799,Ambessa,Top,0.6198,697,0.1184,0.4766,0.1668
266,Aatrox,Top,0.6646,480,0.0815,0.4444,0.0489
22,Ashe,Bottom,0.9025,277,0.047,0.5036,0.0065
150,Gnar,Top,0.9904,209,0.0355,0.4806,0.0071
200,Belveth,Jungle,0.9853,136,0.0231,0.5333,0.0817
82,Mordekaiser,Top,0.8514,175,0.0297,0.4057,0.01
112,Viktor,Middle,0.9228,272,0.0462,0.4815,0.0119
950,Naafiri,Middle,0.4144,473,0.0803,0.4473,0.0853
13,Ryze,Middle,0.822,809,0.1374,0.4566,0.0861
16,Soraka,Support,0.9531,277,0.047,0.5018,0.0095
25,Morgana,Support,0.5379,145,0.0246,0.5245,0.017
8,Vladimir,Middle,0.4681,329,0.0559,0.5,0.0518
55,Katarina,Middle,0.9478,479,0.0814,0.5116,0.1286
876,Lillia,Jungle,1,105,0.0178,0.3558,0.0054
222,Jinx,Bottom,0.9971,690,0.1172,0.5022,0.0148
166,Akshan,Middle,0.9188,345,0.0586,0.5279,0.1172
28,Evelynn,Jungle,1,111,0.0189,0.4324,0.0231
60,Elise,Jungle,0.5627,343,0.0583,0.4655,0.0384
555,Pyke,Support,0.9703,370,0.0628,0.5315,0.4022
92,Riven,Top,0.8593,398,0.0676,0.4987,0.1352
131,Diana,Jungle,0.8794,821,0.1394,0.5156,0.392
