CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Bard,Serrated Dirk,Epic,0.0099,0.6667,4.16,30.0,Dead Man's Plate,Liandry's Torment,Oblivion Orb
Vi,Immortal Shieldbow,Legendary,0.0083,1.0,2.0,20.0,Infinity Edge,Lord Dominik's Regards,The Collector
Tristana,Blade of The Ruined King,Legendary,0.0127,0.8,2.95,35.0,Infinity Edge,Navori Flickerblade,Yun Tal Wildarrows
Neeko,Seeker's Armguard,Epic,0.0816,0.3913,2.72,20.0,Hextech Rocketbelt,Oblivion Orb,Stormsurge
Nautilus,Ruby Crystal,Basic,0.1936,0.5316,2.31,5.0,Locket of the Iron Solari,Bandlepipes,Plated Steelcaps
Fizz,Glowing Mote,Basic,0.0111,1.0,2.21,10.0,Aether Wisp,Amplifying Tome,Blasting Wand
Zed,Long Sword,Basic,0.398,0.4702,2.66,5.0,Voltaic Cyclosword,Ionian Boots of Lucidity,Eclipse
Zeri,Giant's Belt,Epic,0.0123,0.3333,2.8,30.0,Infinity Edge,Yun Tal Wildarrows,Fiendhunter Bolts
Vex,Rod of Ages,Legendary,0.0148,0.0,0.69,15.0,,,
Nautilus,Glacial Buckler,Epic,0.0037,0.6667,3.99,25.0,Warden's Mail,Bandlepipes,Locket of the Iron Solari
Zed,Refillable Potion,Consumable,0.0726,0.3846,2.05,5.0,Long Sword,Voltaic Cyclosword,Ionian Boots of Lucidity
Ashe,Bloodthirster,Legendary,0.0474,0.6923,2.7,30.0,Kraken Slayer,Infinity Edge,Phantom Dancer
Blitzcrank,Trailblazer,Legendary,0.095,0.381,3.92,15.0,Locket of the Iron Solari,Bandlepipes,Force of Nature
Master Yi,Control Ward,Consumable,0.0331,0.5,2.51,15.0,Guinsoo's Rageblade,Kraken Slayer,Blade of The Ruined King
Shen,Spirit Visage,Legendary,0.0444,0.5,3.52,30.0,Titanic Hydra,Dead Man's Plate,Force of Nature
Volibear,Abyssal Mask,Legendary,0.0054,1.0,1.79,30.0,Dusk and Dawn,Navori Flickerblade,Spirit Visage
Heimerdinger,Oracle Lens,Trinket,0.339,0.35,1.55,5.0,Liandry's Torment,Sorcerer's Shoes,Rabadon's Deathcap
Kennen,Aether Wisp,Epic,0.0081,0.5,1.92,15.0,Hextech Alternator,Hextech Rocketbelt,Rabadon's Deathcap
Lulu,Dawncore,Legendary,0.0118,0.5,4.21,30.0,Moonstone Renewer,Redemption,Ardent Censer
Rakan,Locket of the Iron Solari,Legendary,0.462,0.5117,3.25,25.0,Zeke's Convergence,Bandlepipes,Redemption
Brand,Fiendish Codex,Epic,0.0331,0.6,1.79,30.0,Liandry's Torment,Rylai's Crystal Scepter,Blackfire Torch
Qiyana,Tunneler,Epic,0.0648,0.5,2.46,25.0,Profane Hydra,Serylda's Grudge,Serrated Dirk
Urgot,Phage,Epic,0.0321,0.2857,0.64,10.0,Kindlegem,Black Cleaver,Edge of Night
Rek Sai,Last Whisper,Epic,0.0035,0.0,5.2,20.0,Executioner's Calling,Serpent's Fang,Spear of Shojin
Veigar,Spectre's Cowl,Epic,0.0041,0.0,2.2,30.0,Blighting Jewel,Rabadon's Deathcap,Rod of Ages
Xayah,Maw of Malmortius,Legendary,0.0078,1.0,2.7,35.0,Bloodthirster,Infinity Edge,Lord Dominik's Regards
Aurelion Sol,Boots,Boots,0.0448,0.3,0.7,10.0,Rylai's Crystal Scepter,Blackfire Torch,Fated Ashes
Garen,Black Cleaver,Legendary,0.0697,0.3529,1.46,25.0,Stridebreaker,Phantom Dancer,Dead Man's Plate
Yone,Cull,Starter,0.0053,1.0,2.1,5.0,Blade of The Ruined King,Doran's Blade,Berserker's Greaves
Kayle,Cloth Armor,Basic,0.0078,0.0,0.47,5.0,Boots of Swiftness,Berserker's Greaves,Blasting Wand
Vex,Mercury's Treads,Boots,0.0222,0.6667,2.74,15.0,Blackfire Torch,Fiendish Codex,Liandry's Torment
Jayce,Null-Magic Mantle,Basic,0.0101,0.4286,1.52,15.0,Youmuu's Ghostblade,Boots,Black Cleaver
Jarvan IV,Bastionbreaker,Legendary,0.0019,1.0,1.73,20.0,Axiom Arc,Profane Hydra,
Gwen,Spirit Visage,Legendary,0.002,0.0,2.75,25.0,Dusk and Dawn,Zhonya's Hourglass,
Gangplank,Caulfield's Warhammer,Epic,0.0171,0.8333,1.89,10.0,Essence Reaver,Infinity Edge,Lord Dominik's Regards
Veigar,Glowing Mote,Basic,0.0327,0.75,1.35,15.0,Rabadon's Deathcap,Rod of Ages,Fiendish Codex
Kayle,Noonquiver,Epic,0.0078,0.5,2.55,30.0,Infinity Edge,Yun Tal Wildarrows,Blade of The Ruined King
Karma,Mikael's Blessing,Legendary,0.1081,0.5694,3.83,25.0,Moonstone Renewer,Redemption,Shurelya's Battlesong
KSante,Warden's Mail,Epic,0.0951,0.5926,2.57,25.0,Iceborn Gauntlet,"Jak'Sho, The Protean",Kaenic Rookern
Kayle,Doran's Ring,Starter,0.0388,0.4,0.74,5.0,Boots of Swiftness,Nashor's Tooth,Needlessly Large Rod
Kog Maw,Null-Magic Mantle,Basic,0.0203,0.0,0.93,25.0,Guinsoo's Rageblade,Blade of The Ruined King,Navori Flickerblade
Draven,Mercurial Scimitar,Legendary,0.0091,0.6667,2.04,25.0,Infinity Edge,Lord Dominik's Regards,Bloodthirster
Ezreal,Shadowflame,Legendary,0.0018,0.0,3.38,25.0,Cryptbloom,Hextech Gunblade,Lich Bane
Kindred,Black Cleaver,Legendary,0.0226,0.3333,1.96,25.0,Kraken Slayer,Trinity Force,Infinity Edge
Galio,Catalyst of Aeons,Epic,0.0029,0.0,0.0,10.0,,,
Trundle,Chain Vest,Epic,0.0543,0.2,1.95,20.0,Trinity Force,Winged Moonplate,Bandlepipes
Sona,Dream Maker,Legendary,0.0248,0.5,3.19,15.0,Echoes of Helia,Moonstone Renewer,Dawncore
Fiddlesticks,Abyssal Mask,Legendary,0.0271,0.5,2.3,25.0,Bloodletter's Curse,Liandry's Torment,Hextech Rocketbelt
Senna,Opportunity,Legendary,0.011,0.6667,1.55,20.0,Eclipse,Edge of Night,
Jarvan IV,Boots of Swiftness,Boots,0.0019,1.0,7.33,20.0,Eclipse,Profane Hydra,Sundered Sky
Aatrox,Elixir of Iron,Consumable,0.0084,0.0,2.69,30.0,Spear of Shojin,Sundered Sky,Plated Steelcaps
Rakan,Luden's Companion,Legendary,0.0065,0.6667,3.34,15.0,Hextech Gunblade,Malignance,
Naafiri,Hexdrinker,Epic,0.0172,0.25,1.63,20.0,Voltaic Cyclosword,Edge of Night,Eclipse
Miss Fortune,Steel Sigil,Epic,0.0071,0.0,2.0,30.0,Bloodthirster,Edge of Night,Infinity Edge
Rakan,Boots,Boots,0.0282,0.2308,1.98,5.0,Zeke's Convergence,Bandlepipes,Kindlegem
Yunara,Hexdrinker,Epic,0.0049,0.5,3.6,25.0,Fiendhunter Bolts,Infinity Edge,Kraken Slayer
Fizz,Zhonya's Hourglass,Legendary,0.6167,0.5315,2.69,20.0,Lich Bane,Rabadon's Deathcap,Shadowflame
Jarvan IV,Winged Moonplate,Epic,0.0019,1.0,2.22,25.0,Eclipse,Frozen Heart,Negatron Cloak
Miss Fortune,Cloak of Agility,Basic,0.1821,0.4706,2.29,20.0,The Collector,Bloodthirster,Infinity Edge
Ashe,Phantom Dancer,Legendary,0.4672,0.5078,2.54,20.0,Kraken Slayer,Infinity Edge,Lord Dominik's Regards
Ashe,Noonquiver,Epic,0.0511,0.5714,3.39,25.0,Phantom Dancer,Infinity Edge,Kraken Slayer
Jhin,Noonquiver,Epic,0.0546,0.3438,2.19,25.0,Infinity Edge,Stormrazor,Rapid Firecannon
